sample_name_dbs,haplotype_number,haplotype_reads,haplotype_list
M07 A00110,11,33130,"H1,H3,H4,H7,H8,H10,H21,H22,H23,H29,H37"
M07 A00001,5,11840,"H4,H10,H50,H133,H144"
M04 H00021,2,2334,"H6,H154"
M01 H00010,2,1694,"H5,H13"
M09 A00012,8,3876,"H4,H20,H39,H58,H125,H326,H453,H457"
K02 H00026,6,2392,"H3,H4,H5,H11,H12,H16"
M09 A00037,2,23099,"H16,H31"
K14 A00019,16,12713,"H2,H3,H4,H5,H6,H7,H9,H11,H12,H13,H16,H19,H24,H25,H41,H44"
K14 H00020,16,14249,"H2,H3,H4,H6,H7,H13,H21,H22,H23,H27,H29,H33,H38,H51,H55,H96"
M16 A00029,2,1714,"H3,H29"
M15 A00049,2,688,"H9,H16"
M13 A00009,4,2009,"H3,H20,H141,H146"
S02 H00009,1,1382,H17
M09 A00008,3,1275,"H4,H12,H21"
M09 A00036,10,11926,"H4,H5,H6,H7,H12,H14,H24,H25,H28,H45"
M09 H00035,11,6895,"H2,H3,H4,H6,H12,H13,H19,H20,H29,H72,H87"
K07 A00003,11,24148,"H3,H4,H5,H7,H9,H13,H18,H25,H32,H41,H49"
K14 A00004,14,6736,"H2,H3,H5,H6,H7,H8,H13,H16,H20,H25,H31,H153,H424,H432"
M15 H00089,1,9964,H24
M16 H00023,1,335,H5
M13 A00010,7,2712,"H6,H7,H21,H26,H33,H42,H90"
M15 A00028,6,2469,"H5,H14,H30,H69,H141,H153"
K14 H00021,8,2976,"H4,H15,H24,H25,H32,H38,H44,H409"
S04 A00003,10,6315,"H1,H2,H3,H9,H12,H23,H28,H32,H74,H88"
M09 A00018,13,11033,"H2,H3,H4,H5,H12,H13,H16,H18,H32,H38,H49,H65,H411"
M09 H00039,2,615,"H16,H41"
M09 H00036,10,5657,"H4,H7,H9,H11,H12,H18,H25,H75,H77,H446"
M09 H00026,9,26001,"H2,H4,H11,H31,H32,H33,H41,H87,H185"
K14 H00004,10,30840,"H2,H3,H4,H5,H9,H13,H18,H21,H51,H123"
M05 H00033,12,16580,"H2,H3,H4,H5,H6,H16,H23,H24,H30,H32,H41,H96"
M15 H00093,9,5707,"H1,H3,H5,H6,H16,H19,H23,H254,H406"
K14 A00021,1,380,H87
S04 H00003,3,3490,"H4,H38,H49"
K02 H00024,13,5898,"H1,H2,H3,H4,H6,H7,H12,H21,H23,H29,H33,H37,H67"
M09 A00038,13,10880,"H2,H3,H4,H5,H6,H7,H9,H11,H12,H13,H16,H41,H72"
M09 A00039,19,13329,"H3,H4,H8,H11,H12,H16,H19,H23,H37,H71,H79,H128,H192,H290,H333,H382,H394,H395,H408"
M09 H00038,11,16749,"H2,H3,H4,H9,H11,H35,H44,H69,H72,H109,H164"
K14 H00005,8,14777,"H2,H3,H4,H23,H44,H65,H111,H260"
M05 A00037,16,15033,"H2,H3,H5,H7,H11,H13,H19,H22,H26,H36,H44,H51,H76,H148,H262,H269"
K14 A00046,7,4154,"H4,H5,H8,H11,H29,H75,H139"
M13 A00012,1,897,H45
M07 H00005,1,5150,H2
M15 A00026,6,4217,"H8,H38,H41,H63,H340,H396"
S04 A00012,10,5279,"H3,H6,H7,H10,H12,H25,H31,H37,H41,H49"
K02 A00024,13,10898,"H2,H3,H4,H5,H9,H13,H21,H25,H26,H41,H88,H301,H398"
M09 A00006,9,4945,"H4,H11,H12,H13,H18,H55,H375,H438,H448"
M09 A00035,4,5736,"H4,H15,H19,H51"
M09 A00023,16,21964,"H2,H3,H4,H5,H9,H11,H19,H22,H25,H29,H32,H41,H44,H69,H76,H96"
K14 A00024,11,15833,"H7,H8,H12,H16,H18,H23,H25,H29,H33,H40,H206"
M16 A00032,15,8439,"H1,H4,H6,H7,H12,H15,H18,H23,H24,H32,H44,H69,H72,H236,H410"
M16 H00024,3,1310,"H2,H4,H15"
M15 H00005,2,3777,"H3,H110"
M15 A00002,7,6864,"H1,H4,H7,H8,H11,H14,H21"
K05 A00006,5,1954,"H3,H4,H8,H18,H37"
M15 A00060,5,15802,"H2,H4,H5,H6,H88"
S08 A00007,6,4555,"H3,H6,H7,H96,H293,H300"
K11 A00008,1,391,H4
M09 A00002,10,6908,"H3,H4,H12,H13,H19,H21,H23,H36,H92,H236"
M09 H00040,4,1299,"H12,H18,H30,H55"
K07 H00003,7,16052,"H4,H25,H29,H37,H41,H131,H351"
K14 H00016,18,19404,"H1,H2,H6,H7,H12,H13,H15,H16,H20,H32,H34,H36,H49,H58,H85,H94,H118,H175"
M07 A00176,8,12421,"H1,H3,H4,H7,H13,H44,H113,H118"
M13 H00007,1,601,H23
M13 A00007,20,10014,"H1,H6,H7,H11,H12,H13,H21,H22,H23,H24,H37,H38,H40,H58,H72,H96,H124,H154,H418,H434"
K14 A00029,9,2976,"H2,H3,H5,H6,H7,H9,H16,H41,H44"
M04 A00002,2,3933,"H25,H53"
M15 A00058,5,2903,"H4,H8,H21,H35,H420"
M15 H00090,11,3869,"H2,H3,H4,H11,H13,H22,H29,H30,H39,H436,H455"
K05 A00015,10,17797,"H3,H4,H6,H7,H8,H12,H13,H16,H21,H67"
M09 A00040,8,3381,"H2,H5,H8,H12,H20,H49,H69,H443"
M09 A00024,11,21050,"H3,H4,H7,H8,H11,H21,H22,H23,H29,H34,H37"
K14 A00034,16,15921,"H1,H2,H3,H4,H5,H6,H7,H9,H11,H12,H13,H16,H24,H44,H65,H76"
K14 A00022,4,14099,"H2,H12,H21,H33"
M13 H00012,1,273,H449
K05 H00006,5,28745,"H1,H8,H12,H21,H29"
K02 A00026,10,8021,"H2,H4,H5,H6,H11,H16,H32,H69,H125,H196"
M09 A00026,9,3638,"H2,H3,H4,H5,H6,H12,H13,H19,H24"
M09 A00017,11,20672,"H3,H6,H8,H9,H14,H16,H25,H28,H41,H44,H72"
K14 A00016,18,24532,"H2,H4,H6,H7,H11,H16,H18,H24,H25,H33,H41,H44,H45,H46,H175,H220,H285,H291"
M15 A00045,1,1700,H1
M15 A00005,2,1557,"H44,H69"
K12 H00012,6,4231,"H3,H8,H11,H16,H23,H387"
M05 H00037,1,326,H29
S02 H00014,1,285,H445
M09 A00108,4,1878,"H9,H13,H32,H38"
M14 A00070,2,980,"H18,H402"
M16 H00032,7,3867,"H3,H7,H16,H36,H45,H96,H433"
S01 H00032,8,2881,"H2,H4,H7,H15,H16,H19,H21,H30"
M15 H00017,4,1279,"H3,H6,H16,H33"
M05 H00036,9,6480,"H2,H3,H5,H6,H7,H12,H13,H16,H30"
M16 A00024,2,733,"H5,H29"
S01 H00026,4,4797,"H15,H24,H51,H90"
M12 A00013,1,649,H2
M09 H00103,3,1699,"H2,H5,H13"
K04 A00005,14,7980,"H3,H4,H6,H8,H16,H18,H19,H23,H41,H90,H128,H141,H308,H416"
S01 A00045,1,967,H266
M09 H00095,1,530,H15
