sample_name_dbs,haplotype_number,haplotype_reads,haplotype_list
M13-140917-6,16,12379,"H1,H2,H4,H6,H18,H20,H23,H24,H25,H39,H40,H55,H58,H63,H78,H407"
M13-121017-5,12,12155,"H1,H2,H3,H4,H7,H9,H10,H12,H14,H24,H44,H124"
M13-130717-6,3,1548,"H1,H9,H10"
M13-130717-7,1,29104,H7
M13-130717-8,2,6831,"H2,H7"
M05-130617-5,8,23536,"H1,H6,H7,H11,H16,H20,H32,H50"
M05-130717-5,9,12722,"H1,H7,H9,H11,H17,H20,H43,H62,H322"
M05-141217-1,8,7128,"H1,H2,H5,H10,H12,H16,H22,H46"
M05-141217-2,14,14664,"H1,H2,H3,H4,H5,H7,H9,H15,H33,H34,H40,H70,H305,H319"
M05-141217-5,1,32038,H27
M05-121017-2,11,14218,"H1,H7,H9,H16,H19,H23,H25,H42,H60,H140,H273"
M15-091117-2,2,34330,"H8,H11"
M15-091117-4,2,10386,"H43,H57"
M15-141217-2,2,7610,"H2,H9"
M15-141217-1,10,19573,"H1,H2,H5,H8,H13,H14,H18,H19,H22,H43"
M15-130717-3,6,38906,"H1,H5,H11,H13,H42,H157"
M15-170817-1,8,8351,"H1,H6,H8,H21,H27,H43,H63,H422"
M15-170817-3,1,41693,H27
M15-130617-1,3,6134,"H1,H10,H239"
M15-130617-2,7,8588,"H1,H3,H4,H7,H46,H132,H268"
M15-130617-3,3,56784,"H1,H5,H6"
M15-130617-4,9,37364,"H1,H2,H6,H10,H13,H15,H29,H36,H55"
S02-140617-4,11,19979,"H1,H2,H7,H9,H11,H13,H15,H18,H20,H53,H181"
S03-140617-4,10,18189,"H1,H2,H5,H6,H8,H26,H42,H47,H218,H247"
S06-200717-2,14,10302,"H1,H2,H4,H5,H7,H8,H9,H10,H14,H21,H29,H37,H41,H48"
S06-200717-3,1,76106,H17
S06-200717-5,8,5302,"H3,H5,H10,H11,H15,H34,H37,H85"
S06-200717-6,2,21532,"H11,H17"
S06-210917-3,2,9302,"H17,H57"
S06-210917-6,1,7686,H13
M09-141217-2,13,6826,"H1,H2,H3,H10,H21,H22,H59,H67,H71,H100,H347,H373,H456"
M09-141217-5,3,42633,"H1,H2,H10"
S01-240817-8,1,287,H20
S08-210917-1,1,373,H3
S10-200717-3,1,338,H2
M04-091117-1,3,1248,"H6,H7,H45"
S08-161117-7,2,972,"H1,H21"
M03-170817-3,1,1821,H1
K02-070917-4,1,361,H3
S08-200717-2,2,630,"H1,H46"
K02-120617-3,3,1114,"H9,H11,H49"
S11-140617-5,1,1187,H11
S11-140617-8,1,1744,H32
M12-130617-1,1,411,H262
M12-160617-1-R,1,288,H1
M12-130717-2,1,257,H12
M12-130717-5,1,709,H34
M12-170817-1,2,4526,"H2,H19"
K02-071217-8,2,769,"H22,H23"
M15-150318-2,2,4055,"H8,H15"
M06-150318-4,2,717,"H3,H14"
K04-010218-2,1,1151,H58
K04-010218-3,3,2751,"H3,H23,H58"
S07-150218-1,1,570,H1
K13-010218-1,1,307,H7
M05-150318-1,1,427,H47
K07-010218-6,1,257,H13
M13-180118-1,1,723,H25
K14-110118-2,2,919,"H1,H3"
M06-180118-3,1,547,H40
M05-180118-1,1,925,H47
K13-110118-2,1,1290,H1
M14-180118-6,3,1862,"H1,H5,H39"
M01-180118-1,1,644,H1
K03-110118-1,1,3551,H1
K07-110118-6,1,648,H1
K09-050718-7,1,615,H6
S04-290618-7-R,1,269,H39
S01-170518-5,1,887,H6
S08-170518-7,1,472,H50
S06-210618-3,1,411,H1
K14-070618-4,2,1810,"H13,H101"
M05-180118-5,1,323,H3
S04-240817-3,1,290,H1
M13-140618-2,1,361,H1
S04-191017-6,2,1530,"H3,H36"
S01-240817-7,2,726,"H1,H2"
M04-160418-3-R,1,460,H1
M15-140618-1,1,321,H4
M06-030518-2-R,1,272,H1
M03-260618-2-R,1,698,H1
M01-100418-3-R,1,414,H1
M05-140618-5,3,1101,"H1,H3,H4"
M16-140618-6,1,483,H1
M04-300418-3-R,2,680,"H1,H15"
M14-270418-6-R,2,872,"H3,H8"
M09-230718-3-R,3,2872,"H2,H4,H8"
K05-050718-6,1,657,H6
S03-170518-2,4,3751,"H2,H7,H16,H19"
S02-170518-2,1,450,H2
S08-170518-2,1,1623,H1
S10-170518-3,2,1080,"H2,H7"
S02-170518-3,1,296,H7
S10-170518-4,1,339,H2
S11-170518-7,1,2777,H4
S07-170518-1,1,368,H16
S04-170518-8,2,1205,"H2,H34"
S04-230518-4-R,1,513,H1
S06-210618-2,1,506,H1
K11-070618-1,1,489,H1
S11-210618-5,1,358,H60
S05-210618-2,1,334,H5
S02-210618-2,2,1602,"H1,H12"
K03-090618-1-R,1,1817,H5
S05-210618-3,1,1110,H3
S06-210618-5,3,4063,"H1,H2,H31"
S10-210618-4,3,987,"H8,H24,H39"
K01-210518-2-R,3,2889,"H2,H5,H33"
M09-130717-4,2,1416,"H8,H12"
S09-140617-2,1,385,H16
S09-140617-8,3,1483,"H8,H68,H121"
S07-140617-2,1,283,H4
K11-080318-2,1,1527,H1
K05-080318-2,1,251,H1
K01-080318-2,1,776,H1
S01-250118-2,1,1028,H1
S06-220318-6,1,356,H5
S08-190418-8,1,996,H34
M05-100518-4,1,352,H41
M05-100518-6,1,627,H12
M05-120718-6,2,607,"H9,H30"
M14-180118-2,1,770,H24
S01-161117-5,2,1672,"H7,H12"
K13-120617-3,1,338,H12
K12-120617-2,1,1113,H39
K12-070917-2,1,567,H40
M05-080218-6,1,271,H13
K02-030817-5,2,2438,"H3,H5"
S08-140617-7,1,2484,H10
S10-140617-1,2,778,"H4,H14"
K02-010218-7,1,796,H23
S04-140617-5,1,409,H11
K01-100318-7-R,1,311,H23
K02-071217-9,1,5069,H22
S01-150218-5,1,7941,H6
S06-150218-3,1,327,H9
S06-150218-6,1,510,H5
K02-110118-5,3,2310,"H3,H9,H28"
K14-110118-4,3,3865,"H11,H13,H20"
S04-140617-3,2,1902,"H2,H50"
S04-140617-6,3,8604,"H2,H3,H15"
S04-240817-7,3,2270,"H1,H2,H52"
K03-050718-4,3,2673,"H2,H6,H31"
K13-050718-3,2,7184,"H6,H21"
S05-170518-5,2,2792,"H8,H21"
M09-130617-3,2,1326,"H7,H45"
S01-191017-5,1,1654,H7
K01 H00026,4,2553,"H4,H7,H8,H21"
K01 H00027,1,314,H60
